event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
UKR142409,29-Dec-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kharkiv,Kupianskyi,Vilhuvatska,Vilkhuvatka,50.1842,37.5156,2,Suspilne Media,National,"On 29 December 2023, a civilian received a leg injury after stepping on a mine near Vilkhuvatka, Kharkiv.",0,,1704833943
UKR142272,28-Dec-23,2023,2,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Melitopol Communal Militia (Ukraine),,4,,,0,40,,804,Europe,Ukraine,Zaporizhia,Melitopolskyi,Terpinnivska,Svitlodolynske,47.0815,35.5111,2,24 Channel,National,"Around 28 December 2023 (as reported), Melitopol communal militia destroyed (likely by blowing it up) a railway crossing that was used by the Russian military near Svitlodolynske, Zaporizhia.",0,,1704833942
UKR142288,28-Dec-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Russia (2000-),,8,Civilians (International),,7,78,Civilian targeting,804,Europe,Ukraine,,,,Western Black Sea,43.517,31.245,1,Liveuamap; Unian,Local partner-New media,"On 28 December 2023, a ship flying a flag of Panama was damaged after the collision with a Russian sea mine in the Western Black Sea. 2 civilians were wounded.",0,,1704833942
UKR141739,24-Dec-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Russia (2000-),,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kherson,Beryslavskyi,Kalinovskaya,Bobrovyi Kut,47.0985,32.9444,2,Novoye Vremya Ukraine,National,"On 24 December 2023, a civilian was injured in an explosion of a Russian mine near Bobrovyi Kut, Kherson.",0,,1704833939
UKR141004,17-Dec-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kharkiv,Kupianskyi,Kurylivska,Hlushkivka,49.5858,37.7083,1,Suspilne Media,National,"On 17 December 2023, a civilian was injured in an explosion of an unidentified mine in Hlushkivka Kut, Kharkiv.",0,,1704833937
UKR140981,16-Dec-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Mykolaiv,Bashtanskyi,Snihurivska,Yevhenivka,47.0863,32.902,2,Suspilne Media,National,"On 16 December 2023, two civilians were injured when their car hit an unidentified mine near Yevhenivka, Mykolaiv.",0,,1704833937
UKR140748,15-Dec-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,8,Civilians (Ukraine),,7,78,Civilian targeting,804,Europe,Ukraine,Kharkiv,Iziumskyi,Iziumska,Izium,49.2088,37.2485,1,24 Channel; Ukrinform,National,"On 15 December 2023, an unknown explosive device detonated in the hands of a 15-year-old child in Izium, Kharkiv. The victim's hands were injured.",0,,1704833936
UKR140774,15-Dec-23,2023,2,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Mariupol Communal Militia (Ukraine),,4,Military Forces of Russia (2000-),,8,48,,804,Europe,Ukraine,Donetsk,Mariupolskyi,Mariupolska,Mariupol,47.1298,37.571,1,Flot 2017; Institute for the Study of War,Other-National,"Around 15 December 2023, Ukrainian partisans blew up the car of the commander of an unspecified Russian unit from the North Caucasus in occupied Mariupol, Donetsk. Casualties unknown.",0,,1704833936
UKR140776,15-Dec-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Melitopol Communal Militia (Ukraine),,4,Military Forces of Russia (2000-),,8,48,,804,Europe,Ukraine,Zaporizhia,Melitopolskyi,Melitopolska,Melitopol,46.8489,35.3653,2,061.ua; 24 Channel; Flot 2017; Inform.zp.ua; Novoye Vremya Ukraine; Suspilne Media,Subnational-National,"On 15 December 2023, Ukrainian partisans exploded a freight train of Russian Forces in the area of Melitopol, Zaporizhia. The train was carrying ammunition and fuel. Casualties unknown.",0,,1704833936
UKR139267,6-Dec-23,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Ukraine),,3,Military Forces of Russia (2000-),,8,38,,804,Europe,Ukraine,Zaporizhia,Berdianskyi,Berdianska,Berdiansk,46.7586,36.7845,1,24 Channel,National,"On 6 December 2023, an unidentified group blew up a Russian military truck in Berdiansk, Zaporizhia. No casualties.",0,,1702407966
